Albert Park,-37.844290841,144.952900461,628
Watsonia,-37.709593599,145.083546976,627
Lynbrook,-38.054108534,145.255657414,626
Capel Sound,-38.370261029,144.875716512,625
Chadstone,-37.881419928,145.101129980,625
Woodend,-37.358632257,144.528696017,625
Kilmore,-37.298211183,144.951347119,621
Blackburn North,-37.806267569,145.154829013,619
Hamilton,-37.738368018,142.026178241,618
Braybrook,-37.786509741,144.853332565,617
Cockatoo,-37.937120233,145.495383914,610
Derrimut,-37.790560440,144.762253944,610
Wonthaggi,-38.601941758,145.593282213,607
Heidelberg Heights,-37.743053403,145.053298105,605
Seddon,-37.806454466,144.890893697,605
Swan Hill,-35.342044537,143.549635525,605
Korumburra,-38.434496966,145.822230081,604
Armadale,-37.856822075,145.020491555,603
Carlton North,-37.785716257,144.972197350,602
Airport West,-37.724292035,144.880115908,601
Clayton South,-37.939013224,145.125373456,595
Paynesville,-37.911440309,147.717938924,593
Newcomb,-38.165262712,144.392391685,586
Cairnlea,-37.759592536,144.786411959,585
Belgrave,-37.912841843,145.354003871,583
Kings Park,-37.733297422,144.771907812,575
Noble Park North,-37.951204060,145.193216557,575
Yarrawonga,-36.015294424,146.016503649,564
St Albans Park,-38.187442317,144.392201590,560
Whittlesea,-37.507482779,145.118026903,557
Strathdale,-36.767892252,144.314291420,556
Bayswater North,-37.827835399,145.283603510,554
Viewbank,-37.736403470,145.090994246,553
Oakleigh,-37.903108798,145.096873661,551
Healesville,-37.657104543,145.521578011,550
Lakes Entrance,-37.868339228,148.002234668,546
Tullamarine,-37.700248553,144.877924306,546
Aspendale,-38.021803963,145.102217004,544
Sandhurst,-38.083402837,145.207502859,537
Murrumbeena,-37.897761287,145.070533074,536
McCrae,-38.356538253,144.929540873,534
Romsey,-37.351219790,144.739612807,532
St Leonards,-38.177718503,144.709379286,532
South Melbourne,-37.836188229,144.957106536,529
Anglesea,-38.410804833,144.178930636,527
Burnside Heights,-37.731052451,144.756515730,525
Barwon Heads,-38.273419736,144.487724026,523
Ashwood,-37.865683464,145.102938418,521
Box Hill,-37.822122450,145.126426144,520
Coburg North,-37.726592959,144.968530399,519
Eaglehawk,-36.715737320,144.257662476,517
Westmeadows,-37.676640321,144.890704580,511
Loch Sport,-38.039739837,147.593612265,508
Oak Park,-37.717153950,144.917000642,504
St Kilda,-37.864489799,144.983554315,500
Clifton Hill,-37.790771142,144.996931546,493
Dallas,-37.670837856,144.934822379,492
Narre Warren North,-37.987280438,145.306154675,491
