Baynton East,-37.13314667,144.6965127,818167,3,16754,24597,16754,50,39940,,,
Bayswater,-37.84774167,145.2602774,527666,913,584,1078,802,50,1787,,,
Bayswater North,-37.8278354,145.2836035,525797,554,769,1385,2054,50,1552,,,
Beaconsfield,-38.04731769,145.3773495,535622,771,1158,1173,1176,68,3703,,,
Beaconsfield Upper,-37.99914849,145.416726,603063,312,6212,6214,6349,69,7341,,,
Bealiba,-36.79802067,143.5489569,392833,9,17911,32508,50789,40,125450,,,
Bearii,-35.89756347,145.3381693,270000,5,21265,27893,20752,50,164834,,,
Bears Lagoon,-36.317775,143.971803,470000,1,31547,52954,31749,50,151137,,,
Beaufort,-37.4303247,143.3820826,690367,113,1418,50738,1447,40,115058,,,
Beaumaris,-37.98225046,145.0395661,1203618,1174,459,2172,834,38,2178,,,
Beeac,-38.19637833,143.6395553,332580,25,16665,16635,48924,40,53315,,,
Beech Forest,-38.63761872,143.5656972,276912,17,15531,32988,40504,40,60195,,,
Beechworth,-36.35877839,146.6885494,476712,345,1109,22879,1670,60,30177,,,
Beenak,-37.900757,145.613087,451000,1,13107,13224,15472,80,20374,,,
Belgrave,-37.91284184,145.3540039,424486,583,727,858,1576,66,9122,,,
Belgrave Heights,-37.92565702,145.3476342,471117,154,1130,1876,2413,65,7957,,,
Belgrave South,-37.93460474,145.3542804,539221,154,960,2872,2755,66,8768,,,
Bell Park,-38.1068345,144.3369667,367900,461,846,1867,5086,40,1962,,,
Bell Post Hill,-38.09932048,144.3282837,365108,481,711,1364,6106,40,1347,,,
Bellarine,-38.1415745,144.6252975,874000,2,3712,3850,20778,40,14254,,,
Bellbrae,-38.33670185,144.2450761,826194,31,5295,6919,17934,40,6705,,,
Bellbridge,-36.09915816,147.0620937,515481,27,9183,8908,11236,60,16337,,,
Bellfield,-37.75236226,145.0391233,604407,172,384,1618,1044,25,1601,,,
Bells Beach,-38.36481012,144.2551456,715538,13,4059,6783,20481,40,6446,,,
Belmont,-38.17933258,144.337585,387577,1903,517,939,1259,40,1226,,,
Bemm River,-37.758062,148.9637728,301375,4,44361,113436,96520,80,259640,,,
Benalla,-36.55378142,145.9780291,290542,795,1432,1585,2064,46,92597,,,
Benambra,-36.95978922,147.7015427,230800,5,17899,70981,52998,80,118709,,,
Bend Of Islands,-37.70272393,145.284702,470833,6,6419,6583,7851,60,6888,,,
Bendigo,-36.75617949,144.2795994,372133,1222,587,1292,1534,50,95785,,,
Benloch,-37.19911687,144.6858169,593625,8,9791,22275,9791,50,35140,,,
Bentleigh,-37.92314832,145.0391446,955586,1218,327,795,720,39,954,,,
Bentleigh East,-37.92207265,145.0671405,796909,2161,416,1362,903,36,2154,,,
Beremboke,-37.77448675,144.2459331,506250,8,18396,21695,18506,40,21793,,,
Berringa,-37.776155,143.6866731,508700,10,14687,23834,27566,40,73077,,,
Berriwillock,-35.63791914,142.994055,327357,7,19610,60813,60771,50,272756,,,
Berrys Creek,-38.433918,146.067186,307000,1,10977,11717,26162,80,63987,,,
Berwick,-38.04258437,145.3406551,866998,5919,777,1117,1267,67,1552,,,
Bet Bet,-36.93239466,143.7493323,230000,2,8600,12736,28847,39,102732,,,
Bete Bolong,-37.672009,148.361262,475000,1,9263,40197,38811,80,217324,,,
Bethanga,-36.11992021,147.1004726,519786,14,12605,13054,15197,60,19628,,,
Betley,-36.92617413,143.7839041,480375,4,8932,13935,26045,46,101508,,,
Beulah,-36.07366961,142.5407641,229545,33,22774,83142,36840,40,247562,,,
Beverford,-35.233578,143.479968,253000,1,13681,13577,13744,50,277032,,,
Beveridge,-37.48142429,144.9623942,536691,97,6723,7269,7177,46,7371,,,
Big Hill,-36.92873857,144.2222975,458611,18,4606,5205,8442,49,88934,,,
Big Pats Creek,-37.76413975,145.7495561,308000,8,4697,12194,23331,76,39545,,,
Binginwarri,-38.59745562,146.4464012,312500,2,17970,20447,22029,80,101252,,,
Birchip,-35.98129197,142.9156457,244056,27,373,91894,91878,46,232159,,,
Birdwoodton,-34.19621155,142.0681405,584667,21,3328,6766,4812,50,443660,,,
Birregurra,-38.33759236,143.7869476,469301,68,799,17628,28656,40,35923,,,
Bittern,-38.34020294,145.1736407,626087,378,2307,3859,13138,93,16295,,,
Black Hill,-37.54939015,143.8698603,329768,95,1128,1398,2012,40,72438,,,
Black Rock,-37.97132024,145.0192996,1380378,489,523,2723,771,30,3138,,,
Blackburn,-37.82152689,145.1514215,923998,1079,495,782,897,35,755,,,
Blackburn North,-37.80626757,145.154829,755336,619,680,952,882,35,887,,,
Blackburn South,-37.83921469,145.1471831,767924,849,586,828,829,35,1194,,,
Blackheath,-36.469522,142.16596,300000,1,12543,27339,36296,40,279746,,,
Blackwood,-37.47407194,144.3087784,352276,76,9911,20839,9911,42,25155,,,
Blairgowrie,-38.3681045,144.7747642,653799,1011,1004,4883,9658,50,4413,,,
Blakeville,-37.49898533,144.205221,272000,3,11225,18342,11360,40,28468,,,
Blampied,-37.36006291,144.0372937,735455,11,8975,9518,9992,40,49900,,,
Blind Bight,-38.2141024,145.3380871,363649,148,3876,10695,13284,67,12587,,,
Blowhard,-37.42920303,143.7888184,155000,1,9356,12127,15181,40,87482,,,
Bobinawarrah,-36.56653,146.46416,269000,1,26384,26440,26965,60,60544,,,
Boho,-36.695371,145.772343,717000,1,8457,25007,25306,46,106376,,,
Boisdale,-37.88491433,146.970883,320667,3,9197,9237,57328,80,129917,,,
Bolwarra,-38.28797583,141.6151756,1227889,9,5941,6584,7099,40,224970,,,
Bolwarrah,-37.505864,144.097256,270000,1,15131,18636,15250,40,35562,,,
Bonang,-37.202818,148.728311,80000,1,60132,99719,55068,80,196912,,,
Bonbeach,-38.06318829,145.1257087,627874,429,867,1302,1878,53,1771,,,
Bonegilla,-36.152966,147.000782,424500,2,9897,10925,10010,60,11314,,,
Boneo,-38.40501017,144.898728,803867,15,5132,5233,5519,71,5476,,,
Bonnie Doon,-37.03363787,145.8745083,1056672,90,3257,54754,19288,57,95853,,,
Bonshaw,-37.603683,143.811575,585667,3,2701,2589,5488,40,71025,,,
Bookaar,-38.1615251,143.1097617,570000,1,8666,8624,8677,40,98092,,,
Boolarra,-38.38936874,146.2699317,314424,79,562,19173,19464,80,76011,,,
Boole Poole,-37.907036,147.715633,120000,1,1543,11781,25309,80,211852,,,
Boonah,-38.398611,143.955419,460000,1,16485,40529,16485,40,20441,,,
Boorcan,-38.2131486,143.043412,445000,5,8314,9640,8673,40,102297,,,
Boort,-36.11698167,143.7235569,536143,28,422,46015,831,50,182366,,,
Boosey,-35.995779,145.805388,330000,1,16460,16601,16476,50,96330,,,
Boralma,-36.229191,146.413149,360000,1,15771,16031,15760,57,42037,,,
Boronia,-37.8579301,145.282568,518378,1724,758,1307,1237,53,1980,,,
Borung,-36.291498,143.752395,116000,1,18853,69986,20163,50,165670,,,
Bostocks Creek,-38.31815193,143.1354049,506667,3,5565,9803,9221,40,92473,,,
Botanic Ridge,-38.14299468,145.254432,545700,278,4008,4319,6066,67,4412,,,
Bowenvale,-37.00019193,143.7066587,601750,4,5872,6182,31848,40,99187,,,
Boweya,-36.204385,146.062862,355000,1,22050,21676,22068,50,72460,,,
Boweya North,-36.208795,146.130067,158000,1,22372,23794,22618,46,66533,,,
Box Hill,-37.82212245,145.1264261,1086017,520,462,857,678,31,664,,,
Box Hill Central,-37.811345,145.120097,559000,1,269,759,162,30,777,,,
Box Hill North,-37.80550539,145.1296542,879330,917,572,1450,1204,32,1419,,,
Box Hill South,-37.83664496,145.1215684,880660,749,551,1634,1186,31,744,,,
Brandy Creek,-38.0988341,145.9104281,415571,7,5963,6128,6071,80,35570,,,
Branxholme,-37.85908453,141.7981743,520000,15,23729,23641,46542,40,217856,,,
Braybrook,-37.78650974,144.8533326,495911,617,530,868,1625,23,1160,,,
Breakaway Creek,-37.993957,141.796968,936000,1,21169,34216,43151,40,214079,,,
Breakwater,-38.17858014,144.3744063,328265,113,1595,1740,1758,40,1606,,,
Breamlea,-38.29540027,144.3909828,727188,16,7049,7119,13089,40,7129,,,
Brewster,-37.4834506,143.518008,650000,1,13309,24565,13309,40,102378,,,
Briagolong,-37.84033415,147.0795555,283593,54,16712,16829,67837,80,140177,,,
Briar Hill,-37.70600837,145.1205893,571009,291,501,1644,1334,40,1597,,,
Bridge Creek,-36.95934715,146.1266456,960000,2,11065,47277,11762,60,111971,,,
Bridgewater,-36.60330674,143.9426569,401710,31,22255,35238,34073,50,132929,,,
Bridgewater On Loddon,-36.60214834,143.9403356,402182,11,22488,35473,34311,50,130017,,,
